participant_id,sex,age,race_recoded,income_recoded,education,e1_recoded,condition_discourse,condition_framing,location,exclude_reason,ref_item,ref_ling
final97,m,4.032876712328767,White,>70k,graduate,jadelyn,conventional,you,2,included,ball,np_unmod
final98,f,4.545205479452055,White,>70k,NA,jadelyn,conventional,we,2,included,ball,null
final98,f,4.545205479452055,White,>70k,NA,jadelyn,conventional,we,2,included,stick,np_mod
final99,m,4.071232876712329,White,>70k,graduate,alissa,conventional,you,0,included,stick,np_mod
final99,m,4.071232876712329,White,>70k,graduate,alissa,conventional,you,0,included,ball,np_mod
final100,f,3.997260273972602,White,>70k,graduate,jadelyn,conventional,we,0,included,ball,np_unmod
final100,f,3.997260273972602,White,>70k,graduate,jadelyn,conventional,we,0,included,stick,np_mod
final101,m,4.131506849315069,White,>70k,graduate,alissa,conventional,we,0,included,stick,np_unmod
final101,m,4.131506849315069,White,>70k,graduate,alissa,conventional,we,0,included,ball,np_unmod
final102,m,4.2164383561643834,Biracial,40k-49k,graduate,jadelyn,conventional,we,2,included,ball,proform
final102,m,4.2164383561643834,Biracial,40k-49k,graduate,jadelyn,conventional,we,2,included,stick,np_mod
final103,f,4.35068493150685,White,>70k,some college,jadelyn,conventional,you,2,included,stick,np_unmod
final103,f,4.35068493150685,White,>70k,some college,jadelyn,conventional,you,2,included,ball,proform
final104,m,4.2246575342465755,White,40k-49k,graduate,jadelyn,conventional,we,2,included,ball,np_mod
final104,m,4.2246575342465755,White,40k-49k,graduate,jadelyn,conventional,we,2,included,stick,np_mod
final105,f,4.073972602739726,White,>70k,graduate,jadelyn,conventional,you,0,idiosyncratic,-,-
final105,f,4.073972602739726,White,>70k,graduate,jadelyn,conventional,you,0,idiosyncratic,-,-
final106,f,4.8054794520547945,White,>70k,graduate,alissa,conventional,you,2,shy,-,-
final106,f,4.8054794520547945,White,>70k,graduate,alissa,conventional,you,2,shy,-,-
final107,m,4.076712328767123,Biracial,40k-49k,college,alissa,conventional,you,2,included,ball,np_unmod
final107,m,4.076712328767123,Biracial,40k-49k,college,alissa,conventional,you,2,included,stick,np_unmod
final108,m,4.517808219178082,White,>70k,graduate,alissa,conventional,you,2,included,stick,np_mod
final108,m,4.517808219178082,White,>70k,graduate,alissa,conventional,you,2,included,ball,np_mod
final109,m,4.098630136986301,Asian American or Asian,>70k,graduate,alissa,conventional,you,2,included,stick,np_unmod
final109,m,4.098630136986301,Asian American or Asian,>70k,graduate,alissa,conventional,you,2,included,ball,np_unmod
final110,m,4.589041095890411,Biracial,>70k,graduate,alissa,conventional,you,2,included,stick,np_unmod
final110,m,4.589041095890411,Biracial,>70k,graduate,alissa,conventional,you,2,included,ball,np_mod
final111,f,4.032876712328767,White,>70k,graduate,maya&naomi,idiosyncratic,we,0,included,ball,np_unmod
final111,f,4.032876712328767,White,>70k,graduate,maya&naomi,idiosyncratic,we,0,included,stick,np_mod
final112,f,4.7972602739726025,NA,>70k,graduate,jadelyn,idiosyncratic,we,2,included,ball,proform
final112,f,4.7972602739726025,NA,>70k,graduate,jadelyn,idiosyncratic,we,2,included,stick,np_unmod
final113,f,4.336986301369863,Latine,>70k,graduate,jadelyn,idiosyncratic,we,2,shy,-,-
final113,f,4.336986301369863,Latine,>70k,graduate,jadelyn,idiosyncratic,we,2,shy,-,-
final114,f,4.005479452054795,White,>70k,college,alissa,idiosyncratic,you,0,shy,-,-
final114,f,4.005479452054795,White,>70k,college,alissa,idiosyncratic,you,0,shy,-,-
final115,f,4.498630136986302,NA,>70k,college,alissa,idiosyncratic,we,2,included,stick,proform
final115,f,4.498630136986302,NA,>70k,college,alissa,idiosyncratic,we,2,included,ball,proform
final116,m,4.663013698630137,NA,>70k,graduate,alissa,idiosyncratic,you,2,included,ball,proform
final116,m,4.663013698630137,NA,>70k,graduate,alissa,idiosyncratic,you,2,included,stick,proform
final117,m,4.698630136986301,White,>70k,graduate,alissa,idiosyncratic,you,2,included,ball,np_unmod
final117,m,4.698630136986301,White,>70k,graduate,alissa,idiosyncratic,you,2,included,stick,np_mod
final118,f,4.435616438356164,NA,>70k,graduate,alissa,idiosyncratic,we,2,included,ball,np_unmod
final118,f,4.435616438356164,NA,>70k,graduate,alissa,idiosyncratic,we,2,included,stick,np_unmod
final119,m,4.052054794520548,Asian American or Asian,>70k,graduate,alissa,idiosyncratic,you,2,included,ball,no_ling_ref
final119,m,4.052054794520548,Asian American or Asian,>70k,graduate,alissa,idiosyncratic,you,2,included,stick,no_ling_ref
final120,f,4.424657534246576,White,60k-69k,graduate,alissa,idiosyncratic,you,2,included,stick,no_ling_ref
final120,f,4.424657534246576,White,60k-69k,graduate,alissa,idiosyncratic,you,2,included,ball,no_ling_ref
final121,m,4.931506849315069,NA,>70k,NA,maya&naomi,idiosyncratic,you,2,exp_error,-,-
final121,m,4.931506849315069,NA,>70k,NA,maya&naomi,idiosyncratic,you,2,exp_error,-,-
final122,f,4.024657534246575,White,60k-69k,graduate,jadelyn,idiosyncratic,you,0,included,ball,np_unmod
final122,f,4.024657534246575,White,60k-69k,graduate,jadelyn,idiosyncratic,you,0,included,stick,proform
final123,m,4.213698630136986,White,>70k,graduate,alissa,idiosyncratic,you,2,included,ball,proform
final123,m,4.213698630136986,White,>70k,graduate,alissa,idiosyncratic,you,2,included,stick,np_mod
final124,m,4.953424657534247,White,>70k,graduate,maya&naomi,idiosyncratic,you,2,included,ball,np_mod
final124,m,4.953424657534247,White,>70k,graduate,maya&naomi,idiosyncratic,you,2,included,stick,np_mod
